from_address,to_address,amount_previous_transaction_of_sender,eth_value,block_timestamp,scam_adx
0x9653d4d2c71cf7f61ba53b92355874e07bb4a86c,0x9eb4f2dd25958ef1c72fe115d62da67abd6c000c,43,0.0,2018-10-03 14:13:54 UTC,0x9653d4d2c71cf7f61ba53b92355874e07bb4a86c
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x607f4c5bb672230e8672085532f7e901544a7375,30,0.0,2017-07-13 09:55:42 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xa186cacc119c80c6838aa5b3ddb92285519b039c,39,0.2,2017-07-13 14:04:48 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x3362ea011734eeeec1c6181fb03930c7c550d06a,35,0.56470859470085233,2017-07-13 10:30:42 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x3362ea011734eeeec1c6181fb03930c7c550d06a,36,42.999559000000005,2017-07-13 10:40:50 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x3362ea011734eeeec1c6181fb03930c7c550d06a,37,0.297795,2017-07-13 10:51:22 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,0x3362ea011734eeeec1c6181fb03930c7c550d06a,48,0.39772806479648182,2017-07-13 10:52:20 UTC,0x42c5459911ae51d1d005cbe39749bd8d8e533c22
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xcfb98637bcae43c13323eaa1731ced2b716962fd,29,0.0,2017-07-13 09:52:58 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,47,0.0,2017-07-13 10:50:20 UTC,0x42c5459911ae51d1d005cbe39749bd8d8e533c22
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xa645264c5603e96c3b0b078cdab68733794b0a71,15,0.0,2017-07-13 08:56:31 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06,17,0.0,2017-07-13 09:12:59 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x671abbe5ce652491985342e85428eb1b07bc6c64,26,0.0,2017-07-13 09:47:32 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,13,0.0,2017-07-13 08:51:43 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,9,0.0,2017-07-13 08:41:06 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x744d70fdbe2ba4cf95131626614a1763df805b9e,32,0.0,2017-07-13 10:04:14 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x744d70fdbe2ba4cf95131626614a1763df805b9e,38,0.0,2017-07-13 11:01:09 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x14f37b574242d366558db61f3335289a5035c506,28,0.0,2017-07-13 09:51:00 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,20,0.0,2017-07-13 09:22:47 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xb97048628db6b661d4c2aa833e95dbe1a905b280,16,0.0,2017-07-13 09:07:39 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x667088b212ce3d06a1b553a7221e1fd19000d9af,23,0.0,2017-07-13 09:28:12 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x2bdc0d42996017fce214b21607a515da41a9e0c5,25,0.0,2017-07-13 09:45:31 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x0d8775f648430679a709e98d2b0cb6250d2887ef,7,0.0,2017-07-13 08:32:51 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x744d70fdbe2ba4cf95131626614a1763df805b9e,33,0.0,2017-07-13 10:10:31 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x888666ca69e0f178ded6d75b5726cee99a87d698,12,0.0,2017-07-13 08:49:09 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,0x40395044ac3c0c57051906da938b54bd6557f212,46,0.0,2017-07-13 10:49:23 UTC,0x42c5459911ae51d1d005cbe39749bd8d8e533c22
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,21,0.0,2017-07-13 09:24:10 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,8,0.0,2017-07-13 08:34:39 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x1dce4fa03639b7f0c38ee5bb6065045edcf9819a,27,0.0,2017-07-13 09:49:56 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x960b236a07cf122663c4303350609a66a7b288c0,5,0.0,2017-07-13 08:22:14 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,31,0.0,2017-07-13 09:57:53 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,24,0.0,2017-07-13 09:29:48 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,0x40395044ac3c0c57051906da938b54bd6557f212,14,0.0,2017-07-13 08:54:16 UTC,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
